LIBID,Year,LibraryName,Address,City,ZIP,MailingAddress,MailingCity,MailingZIP,County,Phone,DistCoop,CentralLibrary,Branches,Bookmobiles,RegisteredUsers,RegisteredUsersAdded,LibrariansALAMLS,LibrariansTotal,OtherStaff,Volunteers,VolunteerHours,FriendsGroup,Foundation,StaffPositionsFT,StaffPositionsPTUnder20,StaffPositionsPTOver20,StaffPositionsTempOnCall,RevenueCity,RevenueCounty,RevenueDistrict,RevenueState,RevenueLSTA,RevenueErate,RevenueOtherFed,RevenueOtherOperating,CaptialRevenueLocal,CapitalRevenueState,CapitalRevenueFed,CapitalRevenueOther,ExpendituresSalariesWages,ExpendituresBenefits,ExpendituresPrintMaterials,ExpendituresPeriodicals,ExpendituresElectronicMaterials,ExpendituresOtherMaterials,ExpendituresOtherOperating,ExpendituresServiceCharges,CapitalExpendituresConstruction,CapitalExpendituresEquipment,CapitalExpendituresOther,CollectionBooks,CollectionBooksAdded,CollectionPhysicalAudio,CollectionPhysicalAudioAdded,CollectionVideosPhysical,CollectionVideosPhysicalAdded,CollectionOtherMaterials,CollectionOtherMaterialsAdded,CollectionEbooksODLC,CollectionEbooksODLCAdded,CollectionEbooksLocal,CollectionEbooksLocalAdded,CollectionAudiobooksODLC,CollectionAudiobooksODLCAdded,CollectionAudiobooksLocal,CollectionAudiobooksLocalAdded,CollectionDigitalVideosODLC,CollectionDigitalVideosODLCAdded,CollectionDigitalVideosLocal,CollectionDigitalVideosLocalAdded,CollectionPhysicalSpanish,CollectionDigitalSpanish,CollectionOtherLanguages,CollectionDatabasesLocal,CollectionDatabasesLocalAdded,CollectionStatewideDatabases,CollectionStatewideDatabasesAdded,DatabaseUsageStatewide,DatabaseUsageLocal,CircAdult,CircAdultRenewals,CircYA,CircYARenewals,CircChildrens,CircChildrensRenewals,CircOtherMaterials,CircOtherMaterialsRenewals,CircNoAgeCategory,CircNoAgeCategoryRenewals,CircODLC,CircEcontentLocal,CircNetworkLoans,CircILLLoans,CircNetworkBorrows,CircILLBorrows,CircNonresidents,ReferenceTransactions,ReferenceTransactionsMethod,MeetingRoomUse,ProgramsSummerReading,ProgramsKids0-11,ProgramsKids0-11Attendance,ProgramsKids0-5,ProgramsKids0-5Attendance,ProgramsKids6-11,ProgramsKids6-11Attendance,ProgramsYA12-18,ProgramsYA12-18Attendance,ProgramsAdults,ProgramsAdultsAttendance,ProgramsGeneralInterest,ProgramsGeneralInterestAttendance,ProgramsInPersonOnsite,ProgramsInPersonOnsiteAttendance,ProgramsInPersonOffsite,ProgramsInPersonOffsiteAttendance,ProgramsVirtual,ProgramsVirtualAttendance,ProgramsRecorded,ProgramsRecordedViews,ProgramsSelfDirected,ProgramsSelfDirectedParticipants,TechPublicComputersSessions,TechPublicComputersMethod,TechPublicComputers,TechWiFiScenario,TechWiFiSessions,TechWiFiSessionsMethod,TechDownloadSpeed,TechUploadSpeed,TechSharedILS,TechILSProductName,TechWebsiteVisits,HoursWeekday,HoursWeekdayEvening,HoursWeekend,HoursWeekendEvening,WeeksOpenYear,HoursOpenYear,LibraryVisits,LibraryVisitsMethod,FacilitiesSqFtCentral,FacilitiesSqFtTotal,FacilitiesConstructionDate,FacilitiesRemodelDate,FinesAdultMaterials,FinesChildrensMaterials,FinesYAMaterials,FeesILL,FeesNonresident,SalaryDirectorHourlyLow,SalaryDirectorHourlyHigh,SalarySupervisoryLibHourlyLow,SalarySupervisoryLibHourlyHigh,SalaryLibrarianHourlyLow,SalaryLibrarianHourlyHigh,SalaryLibAssistHourlyLow,SalaryLibAssistHourlyHigh,SalaryLibClerkHourlyLow,SalaryLibClerkHourlyHigh,PopulationServed,InterlibraryRelationshipCode,LegalBasisCode,AdminStructureCode,PLSCPubLibDefinition,GeographicCode,Website
OR0027,2011,Klamath County Library Service District,126 S 3rd St,Klamath Falls,97601,126 S 3rd St,Klamath Falls,97601,Klamath,541-882-8894,NONE,1,10,0,32791,,3,3,28.38,352,4421,TRUE,TRUE,,,,,0,41596,2309764,14290,0,0,0,39219,0,0,0,0,979335,316501,190314,13680,21458,88348,720039,,122443,0,0,185930,13153,12808,1667,15162,1848,4092,168,12293,4290,,,15525,3608,,,,,,,,,,9,1,23,1,,,339171,,,,133805,,,,,,,,0,626,0,1115,,29337,,,TRUE,848,18880,,,,,39,244,207,4186,,,,,,,,,,,,,89281,,53,,,,1.5Mbps,,NONE,Polaris,,32,9,11,0,52,14070,313591,,23779,38451,,,0.1,0.1,0.1,0.5,,27.76,35.12,21.29,27.61,15.95,20.77,10.75,13.6,9.13,11.38,66505,NO,LD,MO,TRUE,CO1,
OR0031,2011,Lake County Library District,26 S G St,Lakeview,97630,26 S G St,Lakeview,97630,Lake,541-947-6019,NONE,1,3,0,3751,,3,3,2.13,54,765,FALSE,TRUE,,,,,0,2307,230540,11775,0,2934,0,16424,0,0,300000,268651,130331,44560,16272,2111,1040,1808,78265,,665977,0,0,44650,3583,1683,55,3590,95,5250,2125,12293,4290,,,15525,3608,,,,,,,,,,0,0,23,1,,,43170,,,,12055,,,,,,,,629,0,1152,4,104,2012,,,TRUE,170,2711,,,,,8,35,24,446,,,,,,,,,,,,,12045,,12,,,,1.5Mbps,,Sage,Evergreen,,43,8,4,0,52,4809,44652,,3561,5987,,,0.15,0.15,0.15,as charged by other library / OCLC cost,60,,19.67,,,,,9,13,8.4,10,7890,ME,LD,MO,TRUE,CO1,
OR0029,2011,Lake Oswego Public Library,706 4th St,Lake Oswego,97034,706 Fourth St,Lake Oswego,97034,Clackamas,503-675-2539,LINCC,1,0,0,29778,,12.29,12.49,22.13,592,14193,TRUE,FALSE,,,,,832977,0,2056156,4509,0,0,0,132367,0,0,0,0,1626990,776347,191424,21575,36170,106229,262704,,0,0,0,160672,12646,24051,3198,21415,3071,1571,156,12293,4290,,,15525,3608,,,,,,,,,,14,4,23,1,,,946853,,,,406076,,,,,,,,296949,2488,230009,2182,499299,62494,,,TRUE,296,11381,,,,,32,338,285,10337,,,,,,,,,,,,,74731,,34,,,,11M-100Mbps,,LINCC,SirsiDynix,,35,17,11,2,52,3285,353765,,27100,27100,,,0.25,0.25,,0,,42.67,51.87,28.82,35.01,,,,,14.26,20.32,38270,ME,LD,SO,TRUE,CI1,
OR0030,2011,Lakeside Public Library,915 N Lake Rd,Lakeside,97449,PO Box R,Lakeside,97449,Coos,541-759-4432,CCLSD,1,0,0,,,0,1,0.5,12,690,TRUE,FALSE,,,,,0,0,63000,1000,0,0,0,2200,1000,0,0,0,37000,15700,5100,200,0,370,0,,0,0,0,26864,1100,1125,325,1950,300,3000,1200,0,0,,,173,0,,,,,,,,,,25,0,23,1,,,,,,,,,37814,,,,,,3784,1003,3514,35,8261,600,,,TRUE,9,170,,,,,0,0,0,0,,,,,,,,,,,,,22000,,10,,,,129-256K,,CCSLD,Innovative Interfaces,,33,0,4,0,52,1898,37000,,3500,3500,,,0.15,0.15,0.5,3,,13,17,,,,,,,8.5,12.35,2104,ME,CI,SO,TRUE,CI1,
OR0140,2011,Lane Library District,64 W Oregon Ave,Creswell,97426,PO Box 366,Creswell,97426,Lane,541-895-3053,NONE,1,0,0,3050,,2,2,1.78,53,3788,TRUE,TRUE,,,,,0,0,315736,1000,0,0,0,6720,0,0,0,0,134048,61605,19410,,1889,0,83959,,0,9542,0,29051,2810,922,156,2143,343,209,20,12293,4290,,,15525,3608,,,,,,,,,,3,0,23,1,,,33370,,,,27479,,,,,,,,478,0,364,27,0,,,,TRUE,128,3696,,,,,17,149,127,3433,,,,,,,,,,,,,13229,,11,,,,6.1M-10Mbps,,NONE,SirsiDynix,,31,8,6,0,52,2300,56070,,4950,4950,,,0,0,0,1,,22.21,34.21,,,17.14,26.39,12.1,18.64,,,8434,NO,LD,SO,TRUE,OTH,
OR0032,2011,Langlois Library District,48234 Hwy 101,Langlois,97450,PO Box 277,Langlois,97450,Curry,541-348-2066,NONE,1,0,0,558,,0,1,1,37,1311,TRUE,TRUE,,,,,0,0,58989,1000,0,0,0,8817,0,0,0,0,39840,4328,2306,1472,0,1080,31258,,0,0,0,14893,591,665,34,1289,193,253,51,0,0,,,0,0,,,,,,,,,,17,0,23,1,,,8731,,,,3121,,,,,,,,276,4,204,22,0,1470,,,TRUE,25,687,,,,,0,0,20,956,,,,,,,,,,,,,2436,,4,,,,3.1M-6.0Mbps,,NONE,The Library Corporation (TLC),,27,4,5,0,52,1839,10496,,3100,3100,,,0.1,0.1,0.1,3,20,,14.68,,,,,,10.3,,9.82,785,ME,LD,SO,TRUE,OTH,
OR0033,2011,Lebanon Public Library,55 Academy St,Lebanon,97355,55 Academy St,Lebanon,97355,Linn,541-258-4926,NONE,1,0,0,9375,,0,1,4.84,62,4321,TRUE,FALSE,,,,,470181,0,0,1772,27493,0,0,72153,0,0,0,0,218766,104169,20595,3674,7762,8693,121599,,0,0,0,45718,3261,3431,618,4008,626,1566,484,12293,12293,,,15525,15525,,,,,,,,,,6,2,23,1,,,116752,,,,77951,,,,,,,,0,5,0,261,0,7625,,,TRUE,45,2432,,,,,12,97,10,169,,,,,,,,,,,,,39594,,25,,,,11M-100Mbps,,NONE,SirsiDynix,,35,8,7,0,52,2445,136616,,19345,19345,,,0.1,0.1,0.1,3,50,27.77,36.33,,,,,15.27,19.3,12.37,15.08,15525,NO,CI,SO,TRUE,CI1,
OR0043,2011,Ledding Library,10660 SE 21st Ave,Milwaukie,97222,10660 SE 21st Ave,Milwaukie,97222,Clackamas,503-786-7580,LINCC,1,0,0,18822,,4.48,5.48,12.45,114,8493,TRUE,TRUE,,,,,974000,0,988000,5000,0,0,0,56000,35000,0,0,0,859000,408000,74000,11000,0,39000,632000,,35000,0,0,89226,7698,12939,1121,12449,2059,5884,2334,12293,4290,,,15525,3608,,,,,,,,,,9,4,23,1,,,429719,,,,286536,,,,,,,,200889,552,171856,711,419101,42568,,,TRUE,332,9768,,,,,8,160,76,2219,,,,,,,,,,,,,64542,,9,,,,11M-100Mbps,,LINCC,SirsiDynix,,35,17,12,2,52,3212,228596,,12250,12250,,,0.25,0.25,0.1,as charged by other library / OCLC cost,90,36.05,46,23.24,29.65,21.08,26.95,17.34,22.13,14.26,18.25,30025,ME,LD,SO,TRUE,CI1,
OR9999,2011,Library Information Network Of Clackamas County,"1810 Red Soils Court, #110",Oregon City,97045,"1810 Red Soils Court, #110",Oregon City,97045,Clackamas,503-723-4888,LINCC,0,0,0,59,,4,4,7.48,0,0,FALSE,FALSE,,,,,0,1395084,0,0,0,0,0,46748,16813,0,0,0,608263,257508,0,0,70177,0,541584,,0,16813,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,0,0,23,1,,,0,,,,0,,0,,,,,,0,0,0,0,0,0,,,FALSE,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,,0,,,,11M-100Mbps,,LINCC,SirsiDynix,,45,3,4,0,0,0,0,,0,0,,,0,0,,0,95,32.75,44.21,29.7,40.1,0,0,15.15,19.1,0,0,0,HQ,LD,MA,FALSE,CO2,
OR0134,2011,Lincoln County Library District,141 NW 11th St,Newport,97365,PO Box 2027,Newport,97365,Lincoln,541-265-3066,LCLD,0,1,0,1350,,3,3,2.45,247,472,TRUE,TRUE,,,,,0,0,300944,2745,0,0,0,157236,0,0,0,0,271092,134785,2978,1228,0,320,138922,,0,4803,0,19708,927,870,65,1364,258,0,0,12293,4290,,,15525,3608,,,,,,,,,,1,0,23,1,,,11675,,,,2108,,0,,,,,,5654,593,4708,204,3362,349,,,TRUE,50,878,,,,,0,0,0,0,,,,,,,,,,,,,5728,,9,,,,11M-100Mbps,,Coastal Resource Sharing Network,SirsiDynix,,42,8,0,0,52,3824,10460,,0,3000,,,0,0,0,0,45,,34.71,,,,,17.21,19.04,13,13.75,2879,HQ,LD,SO,TRUE,CO2,
OR0036,2011,Lyons Public Library,279 8th St,Lyons,97358,448 Cedar St,Lyons,97358,Linn,503-859-2366,CCRLS,1,0,0,1671,,0,0.69,0.32,19,850,TRUE,FALSE,,,,,40000,0,16499,5000,0,0,0,1295,0,0,0,0,39771,12257,785,190,0,240,8121,,0,0,1315,26483,1173,698,0,1056,99,500,100,12293,4290,,,15525,3608,,,,,,,,,,12,12,23,1,,,,,,,,,23983,,,,,,6312,79,3595,52,9728,2500,,,TRUE,73,1470,,,,,0,0,1,23,,,,,,,,,,,,,668,,6,,,,129-256K,,CCRLS,Millennium,,16,6,6,0,52,1408,9000,,3650,3650,,,0.25,0.25,0.25,0,60,,20.52,,9.72,,,,,,,1781,ME,CI,SO,TRUE,CI1,
OR0122,2011,Mary Gilkey Public Library,416 Ferry St,Dayton,97114,PO Box 339,Dayton,97114,Yamhill,503-864-2221,CCRLS,1,0,0,1590,,0,0.7,0.12,13,331,TRUE,TRUE,,,,,76800,0,7919,1000,0,0,0,1844,0,0,0,0,35669,14423,1217,116,0,0,5330,,0,0,0,12509,216,131,0,218,6,0,0,12293,4290,,,15525,3608,,,,,,,,,,12,12,23,1,,,5906,,,,3302,,,,,,,,2563,1,2071,0,,520,,,TRUE,11,868,,,,,0,0,0,0,,,,,,,,,,,,,2500,,4,,,,257-512K,,CCRLS,Innovative Interfaces,,40,2,0,0,52,2104,7800,,1380,1380,,,0.25,0.25,0.25,0,60,16.65,19.88,,,,,,,,,3893,ME,CI,SO,TRUE,CI1,
OR0039,2011,Mcminnville Public Library,225 NW Adams St,Mcminnville,97128,225 NW Adams St,Mcminnville,97128,Yamhill,503-435-5569,CCRLS,1,0,1,27684,,4.13,4.5,8.28,143,6289,TRUE,TRUE,,,,,1373419,0,127625,3652,0,0,0,59164,0,0,0,0,741580,264371,62634,5013,6977,11214,220188,,0,0,0,76335,5715,4082,396,5140,1036,4426,3653,12293,3608,,,15525,4290,,,,,,,,,,20,15,23,1,,,226884,,,,154930,,,,,,,,47513,5,60228,336,50422,29394,,,TRUE,395,12283,,,,,30,349,80,3306,,,,,,,,,,,,,59054,,31,,,,1.5Mbps,,CCRLS,Innovative Interfaces,,28,12,11,0,52,2670,208528,,22000,22200,,,0.25,0.25,0.1,3,60,34.08,43.5,19.8,25.27,16.25,20.74,14.01,17.88,9.43,12.04,49513,ME,CI,MO,TRUE,CI1,
OR0042,2011,Milton-Freewater Public Library,8 SW 8th Ave,Milton-Freewater,97862,8 SW 8th Ave,Milton-Freewater,97862,Umatilla,541-938-8247,UCSLD,1,0,0,4069,,1,1,4,14,1558,TRUE,TRUE,,,,,119673,0,159072,1000,0,0,0,18441,0,0,0,0,165962,91190,15798,4841,3397,4275,12567,,0,0,0,41660,1670,2590,66,1234,68,0,0,12293,4290,,,15525,3608,,,,,,,,,,6,1,23,1,,,38108,,,,16103,,0,,,,,,1395,0,1554,0,0,1500,,,TRUE,66,773,,,,,0,0,27,405,,,,,,,,,,,,,7124,,12,,,,1.5Mbps,,Sage,Evergreen,,29,11,4,0,52,2140,,,12800,12800,,,0.2,0.2,0.5,0,35,29.22,35.51,,,,,13.05,15.9,,,9872,ME,CI,SO,TRUE,CI1,
OR0044,2011,Molalla Public Library,201 E 5th St,Molalla,97038,PO Box 1289,Molalla,97038,Clackamas,503-829-2593,LINCC,1,0,0,8767,,0,2,3.85,18,759,TRUE,FALSE,,,,,0,0,699465,2805,0,0,0,32925,150000,0,0,0,235096,88820,45542,4164,3002,12778,68450,,0,0,143000,49074,4251,5347,606,8942,1089,582,112,12293,4290,,,15525,3608,,,,,,,,,,10,3,23,1,,,240981,,,,111670,,,,,,,,94334,572,93735,140,218653,5712,,,TRUE,131,3006,,,,,34,538,111,690,,,,,,,,,,,,,15465,,8,,,,11M-100Mbps,,LINCC,SirsiDynix,,35,12,7,0,52,2808,181677,,10000,10000,,,0.1,0.1,0.25,0,95,,28.22,,25.24,18,21,10,14.08,8.5,10,22145,ME,LD,SO,TRUE,CI1,
OR0045,2011,Monmouth Public Library,168 S Ecols St,Monmouth,97361,PO Box 10,Monmouth,97361,Polk,503-838-1932,CCRLS,1,0,0,7309,,2.88,2.88,3.2,55,2889,TRUE,FALSE,,,,,451014,0,72267,1029,0,0,0,16081,0,0,0,0,289333,112322,50827,7360,0,6204,74345,,0,3074,0,67804,4011,3423,187,4205,516,300,0,12293,4290,,,15525,3608,,,,,,,,,,12,12,23,1,,,,,,,,,178661,,,,,,18871,3,14802,55,54022,3450,,,TRUE,126,5670,,,,,8,41,9,89,,,,,,,,,,,,,19304,,10,,,,6.1M-10Mbps,,CCRLS,Innovative Interfaces,,28,10,7,0,52,2300,69000,,14400,14400,,,0.1,0.1,0.1,return postage,60,28.07,43.52,,,17.27,26.79,13.17,23.4,10.75,17.85,14659,ME,CI,SO,TRUE,CI1,
OR0047,2011,Mt. Angel Public Library,290 E Charles St,Mount Angel,97362,PO Box 870,Mount Angel,97362,Marion,503-845-6401,CCRLS,1,0,0,2010,,0,1.08,0.25,34,790,TRUE,FALSE,,,,,50372,0,21300,1000,0,0,0,3725,0,0,0,0,44573,11948,9280,721,0,350,9525,,0,0,0,38332,1384,829,33,1289,75,150,10,12293,4290,,,15525,3608,,,,,,,,,,12,12,23,1,,,20154,,,,10362,,,,,,,,8297,7,5835,5,6782,2870,,,TRUE,39,991,,,,,0,0,0,0,,,,,,,,,,,,,4915,,7,,,,769Kbps-1.4 Mbps,,CCRLS,Millennium,,21,2,4,0,52,1378,18780,,4100,4100,,,0.15,0.15,0.15,0,60,,22.59,,,,,,11.21,,,5045,ME,CI,SO,TRUE,CI1,
OR0063,2011,Multnomah County Library,919 NE 19th Ave,Portland,97232,"919 NE 19th Ave, Suite 250",Portland,97232,Multnomah,503-988-5403,NONE,1,18,0,436949,,83.25,83.25,394,1960,70286,TRUE,TRUE,,,,,0,53568162,9000,77768,405973,0,14221,3466140,0,0,0,0,23568257,14690996,3591735,215416,982257,1865177,14480488,,0,743970,0,1716047,280234,144171,39499,158518,41707,2780,102,172596,164691,,,15525,3608,,,,,,,,,,114,5,23,1,,,15269865,,,,8676633,,,,,,,,0,6785,0,21124,1303785,826444,,,TRUE,12602,270732,,,,,5514,10969,4320,43470,,,,,,,,,,,,,1065753,,589,,,,Greater than 201Mbps,,NONE,Innovative Interfaces,,35,9,12,1,52,52095,5516860,,125000,277762,,,0.25,0.25,0.1,as charged by other library / OCLC cost,,50.54,80.87,35.13,52.69,24.29,29.89,18.08,22.25,14.72,18.08,736785,ME,CO,MA,TRUE,CO1,
OR0050,2011,Newberg Public Library,503 E Hancock St,Newberg,97132,503 E Hancock St,Newberg,97132,Yamhill,503-537-0304,CCRLS,1,0,0,20061,,2,3,7.14,130,5061,TRUE,TRUE,,,,,987863,0,71897,2584,0,0,0,78809,370,0,0,4380,533920,142240,51073,8156,2430,13756,385363,,0,0,370,79748,6479,5285,388,4630,614,500,,12293,4290,,,15525,3608,,,,,,,,,,16,12,23,1,,,158558,,,,129997,,,,,,,,36909,16,40031,230,31774,11033,,,TRUE,285,15204,,,,,68,1042,110,2078,,,,,,,,,,,,,20590,,13,,,,6.1M-10Mbps,,CCRLS,Innovative Interfaces,,26,6,5,0,52,1893,210800,,22500,22500,,,0.1,0.1,0.25,as charged by other library / OCLC cost,80,,40.74,,,,,17.56,22.42,14.2,18.13,33955,ME,CI,SO,TRUE,CI1,
OR0051,2011,Newport Public Library,35 NW Nye St,Newport,97365,35 NW Nye St,Newport,97365,Lincoln,541-574-0600,LCLD,1,0,0,15625,,4,5,6.63,65,3149,FALSE,TRUE,,,,,636825,0,316330,1000,0,0,0,38000,0,0,0,0,462071,222754,65000,9000,6000,20000,183500,,0,0,0,68748,7205,2888,363,6166,904,450,450,12293,4290,,,15525,3608,,,,,,,,,,3,2,23,1,,,224281,,,,55809,,,,,,,,28713,1180,28514,650,101850,16939,,,TRUE,361,11403,,,,,17,792,115,1307,,,,,,,,,,,,,52095,,14,,,,3.1M-6.0Mbps,,Coastal Resource Sharing Network,SirsiDynix,,35,14,12,1,52,3224,219589,,17000,17000,,,0,0,0,3,50,26.99,35.55,19.18,25.26,15.04,19.79,14.32,18.85,12.36,16.28,17254,ME,CI,SO,TRUE,CI1,
OR0052,2011,North Bend Public Library,1800 Sherman Ave,North Bend,97459,1800 Sherman Ave,North Bend,97459,Coos,541-756-0400,CCLSD,1,0,0,,,3,3,8.5,66,1246,TRUE,TRUE,,,,,0,0,651891,1000,0,0,0,34430,0,0,0,0,377787,146560,49270,7074,0,10295,157468,,0,0,0,113720,3728,6856,404,6840,602,5500,1500,12293,4290,,,15675,3608,,,,,,,,,,9,1,23,1,,,,,,,,,232597,,,,,,34067,4234,16078,556,144259,19592,,,TRUE,165,3193,,,,,2,61,57,1814,,,,,,,,,,,,,112198,,19,,,,1.5Mbps,,Coastline,Innovative Interfaces,,30,11,10,0,52,2449,222722,,22129,22129,,,0.15,0.15,0.15,3,,,31.45,,,,13.29,,12.28,,8.88,16839,ME,CI,SO,TRUE,CI1,
OR0141,2011,North Plains Public Library,31334 NW Commercial St,North Plains,97133,31360 NW Commercial St,North Plains,97133,Washington,503-647-5051,WCCLS,1,0,0,1556,,0.5,0.5,2.63,57,4184,TRUE,FALSE,,,,,56178,92487,0,1000,0,0,0,12318,0,0,0,0,89309,14467,5000,800,0,3000,29397,,0,0,0,10650,1211,168,13,1803,475,10,1,12396,4302,,,15525,3608,,,,,,,,,,27,0,23,1,,,33544,,,,22265,,,,,,,,25040,155,25148,119,26410,765,,,TRUE,73,1758,,,,,8,47,20,379,,,,,,,,,,,,,10173,,12,,,,6.1M-10Mbps,,WCCLS,Polaris,,30,6,6,0,52,2100,26294,,2500,2500,,,0,0,0,0,95,21.97,29.44,,,,,16.07,21.53,9.15,17.05,5523,ME,CI,SO,TRUE,CI1,
OR9005,2011,North Powder City Library,290 E St,North Powder,97867,PO Box 309,North Powder,97867,Union,541-898-2175,NONE,1,0,0,173,,0,0,0.23,8,376,FALSE,FALSE,,,,,10300,1500,0,1000,0,0,0,3873,0,0,0,0,5616,566,556,82,0,210,781,,0,0,0,4531,0,133,4,633,30,5604,114,0,0,,,0,0,,,,,,,,,,0,0,23,1,,,,,,,,,2129,,,,,,2,0,48,0,3,18,,,TRUE,18,223,,,,,0,0,2,109,,,,,,,,,,,,,423,,2,,,,129-256K,,Sage,Evergreen,,3,2,3,1,52,480,994,,771,771,,,0.1,0.1,0.1,0,,,12,,,,,,,,,654,NO,CI,SO,FALSE,CI1,
OR0053,2011,Nyssa Public Library,319 Main St,Nyssa,97913,319 Main St,Nyssa,97913,Malheur,541-372-2978,NONE,1,0,0,1190,,0,0.75,0.75,32,201,TRUE,FALSE,,,,,86065,0,0,1000,0,1343,0,5455,10766,0,0,0,35424,23132,4025,510,0,355,36172,,10766,0,0,28684,1184,438,29,330,21,4050,550,0,0,,,0,0,,,,,,,,,,0,0,23,1,,,15884,,,,11884,,,,,,,,1176,1,1142,3,0,560,,,TRUE,44,1255,,,,,16,55,2,20,,,,,,,,,,,,,4407,,7,,,,6.1M-10Mbps,,Sage,Evergreen,,17,4,5,0,52,1344,12621,,5000,5000,,,0.2,0.2,0,0,30,,14.03,,,,,,10.81,,,3265,ME,CI,SO,TRUE,CI1,
OR0054,2011,Oakridge Public Library,48326 E 1st St,Oakridge,97463,PO Box 1410,Oakridge,97463,Lane,541-782-2258,NONE,1,0,0,527,,0,0.5,0,8,1274,FALSE,FALSE,,,,,52882,0,0,1000,0,0,0,633,0,0,800000,0,18769,11428,3335,290,716,215,816,,0,0,0,11774,,484,,955,,100,,0,0,,,0,0,,,,,,,,,,1,0,23,1,,,8282,,,,3523,,,,,,,,90,0,211,0,,100,,,TRUE,1,34,,,,,0,0,0,0,,,,,,,,,,,,,1038,,3,,,,129-256K,,,SirsiDynix,,26,2,4,0,48,1437,5887,,1092,1092,,,0.15,0.15,0.15,3,,,18.79,,,,,,,,,3205,ME,CI,SO,TRUE,CI1,
OR0055,2011,Ontario Library District,388 SW 2nd Ave,Ontario,97914,388 SW 2nd Ave,Ontario,97914,Malheur,541-889-6371,NONE,1,0,1,6697,,0,1.87,2.63,15,675,TRUE,TRUE,,,,,0,8500,492702,14352,0,0,0,19081,0,0,0,0,122628,37242,49300,4400,0,1720,190082,,11980,0,8355,108971,3510,1380,109,2700,269,8000,250,0,0,,,0,0,,,,,,,,,,0,0,23,1,,,44011,,,,29320,,,,,,,,1563,55,756,10,0,26400,,,TRUE,101,3210,,,,,4,10,20,212,,,,,,,,,,,,,31000,,18,,,,257-512K,,Sage,Evergreen,,27,6,5,0,52,2426,,,55000,55000,,,0.25,0.25,0.25,1,30,,19,,14,,,,,8.49,12,26205,ME,LD,MO,TRUE,CO1,
OR0056,2011,Oregon City Public Library,606 John Adams St,Oregon City,97045,606 John Adams St,Oregon City,97045,Clackamas,503-657-8269,LINCC,1,0,0,20112,,3.3,3.3,8.04,30,2043,TRUE,TRUE,,,,,0,0,1747745,7022,0,0,0,45105,196145,0,0,0,577296,286427,38775,5073,3605,24819,262830,,80069,16072,0,83393,2945,7792,346,10709,832,6951,1965,12293,4290,,,15525,3608,,,,,,,,,,10,3,23,1,,,326915,,,,178198,,,,,,,,95828,157,190416,321,235917,17070,,,TRUE,100,2071,,,,,1,5,15,651,,,,,,,,,,,,,11697,,7,,,,11M-100Mbps,,LINCC,SirsiDynix,,35,8,12,1,52,2756,208772,,5000,5000,,,0.25,0.25,0.25,1,95,39.79,54.95,,,,,17.9,24.62,15.82,21.76,57932,ME,LD,SO,TRUE,CI1,
OR0135,2011,Oregon Trail Library District,200 S Main St,Boardman,97818,PO Box 849,Boardman,97818,Morrow,541-481-3365,NONE,1,2,0,2749,,1,1,3.3,7,54,TRUE,FALSE,,,,,0,0,275926,2536,0,0,0,14921,10000,0,0,10250,109013,43679,16151,137,4005,3405,74783,,52206,0,0,33378,1060,2137,68,978,66,0,0,15837,4290,,,15525,3608,,,,,,,,,,4,0,23,1,,,20411,,,,11035,,,,,,,,1090,0,2296,7,0,3042,,,TRUE,287,3370,,,,,41,619,12,222,,,,,,,,,,,,,20219,,18,,,,6.1M-10Mbps,,Sage,Evergreen,,24,6,4,0,52,4046,32684,,3100,5023,,,0.2,0.2,0,0,25,16.35,25,,,,,,,9,10.71,9294,ME,LD,MO,TRUE,OTH,
OR0059,2011,Pendleton Public Library,502 SW Dorion Ave,Pendleton,97801,502 SW Dorion Ave,Pendleton,97801,Umatilla,541-966-0380,UCSLD,1,0,0,11277,,1.63,2.63,5.88,42,3000,TRUE,TRUE,,,,,87190,0,397400,2051,0,0,0,116836,0,0,0,0,303994,126010,36391,4616,5000,16860,120340,,0,0,0,46463,2290,4145,264,2565,298,1000,1000,12293,4290,,,15525,3608,,,,,,,,,,6,3,23,1,,,83534,,,,44015,,,,,,,,3057,28,2846,3,,19737,,,TRUE,132,3523,,,,,12,192,94,1203,,,,,,,,,,,,,36000,,21,,,,11M-100Mbps,,Sage,Evergreen,,35,12,7,0,52,2800,113200,,15000,15000,,,0.2,0.2,,0,30,24.94,33.14,,,17.39,20.85,13.69,16.65,,9.5,23266,ME,CI,SO,TRUE,CI2,
OR0061,2011,Pilot Rock Public Library,144 N Alder Pl,Pilot Rock,97868,PO Box 520,Pilot Rock,97868,Umatilla,541-443-3285,UCSLD,1,0,0,400,,0.53,0.88,0,0,0,FALSE,FALSE,,,,,0,0,31950,1000,0,0,0,0,0,0,0,0,21410,5339,7769,540,0,2044,5289,,0,0,0,7455,492,135,26,280,43,0,0,0,0,,,0,0,,,,,,,,,,1,0,23,1,,,4269,,,,2570,,0,,,,,,594,0,493,0,0,,,,TRUE,80,309,,,,,0,0,9,35,,,,,,,,,,,,,1519,,3,,,,129-256K,,Sage,Evergreen,,30,5,0,0,52,1750,,,1000,1000,,,0.2,0.2,0.2,0,,,12.5,,,,,,11,,,2109,ME,CI,SO,TRUE,CI1,
